name,slug,value,date_of_information,ranking,region
"Mongolia","mongolia","3,281,676","",134,"East and Southeast Asia"
"West Bank","west-bank","3,243,369","",135,"Middle East"
"Kuwait","kuwait","3,138,355","",136,"Middle East"
"Albania","albania","3,107,100","",137,"Europe"
"Puerto Rico","puerto-rico","3,019,450","",138,"Central America and the Caribbean"
"Armenia","armenia","2,976,765","",139,"Middle East"
"Jamaica","jamaica","2,823,713","",140,"Central America and the Caribbean"
"Namibia","namibia","2,803,660","",141,"Africa"
"Lithuania","lithuania","2,628,186","",142,"Europe"
"Qatar","qatar","2,552,088","",143,"Middle East"
"Gambia, The","gambia-the","2,523,327","",144,"Africa"
"Gabon","gabon","2,455,105","",145,"Africa"
"Botswana","botswana","2,450,668","",146,"Africa"
"Lesotho","lesotho","2,227,548","",147,"Africa"
"Gaza Strip","gaza-strip","2,141,643","",148,"Middle East"
"North Macedonia","north-macedonia","2,135,622","",149,"Europe"
"Guinea-Bissau","guinea-bissau","2,132,325","",150,"Africa"
"Slovenia","slovenia","2,097,893","",151,"Europe"
"Kosovo","kosovo","1,977,093","",152,"Europe"
"Latvia","latvia","1,801,246","",153,"Europe"
"Equatorial Guinea","equatorial-guinea","1,795,834","",154,"Africa"
"Bahrain","bahrain","1,566,888","",155,"Middle East"
"Timor-Leste","timor-leste","1,506,909","",156,"East and Southeast Asia"
"Trinidad and Tobago","trinidad-and-tobago","1,408,966","",157,"Central America and the Caribbean"
"Cyprus","cyprus","1,320,525","",158,"Europe"
"Mauritius","mauritius","1,310,504","",159,"Africa"
"Estonia","estonia","1,193,791","",160,"Europe"
"Eswatini","eswatini","1,138,089","",161,"Africa"
"Djibouti","djibouti","994,974","",162,"Africa"
"Fiji","fiji","951,611","",163,"Australia and Oceania"
"Comoros","comoros","900,141","",164,"Africa"
"Bhutan","bhutan","884,546","",165,"South Asia"
"Guyana","guyana","794,099","",166,"South America"
"Solomon Islands","solomon-islands","726,799","",167,"Australia and Oceania"
"Luxembourg","luxembourg","671,254","",168,"Europe"
"Suriname","suriname","646,758","",169,"South America"
"Macau","macau","644,426","",170,"East and Southeast Asia"
"Cabo Verde","cabo-verde","611,014","",171,"Africa"
"Montenegro","montenegro","599,849","",172,"Europe"
"Brunei","brunei","491,900","",173,"East and Southeast Asia"
"Malta","malta","469,730","",174,"Europe"
"Belize","belize","415,789","",175,"Central America and the Caribbean"
"Bahamas, The","bahamas-the","410,862","",176,"Central America and the Caribbean"
"Maldives","maldives","388,858","",177,"South Asia"
"Iceland","iceland","364,036","",178,"Europe"
"Vanuatu","vanuatu","318,007","",179,"Australia and Oceania"
"New Caledonia","new-caledonia","304,167","",180,"Australia and Oceania"
"Barbados","barbados","304,139","",181,"Central America and the Caribbean"
"French Polynesia","french-polynesia","303,540","",182,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","223,561","",183,"Africa"
"Samoa","samoa","208,853","",184,"Australia and Oceania"
"Guam","guam","169,532","",185,"Australia and Oceania"
"Saint Lucia","saint-lucia","168,038","",186,"Central America and the Caribbean"
"Curacao","curacao","153,289","",187,"Central America and the Caribbean"
"Aruba","aruba","125,063","",188,"Central America and the Caribbean"
"Kiribati","kiribati","116,545","",189,"Australia and Oceania"
"Grenada","grenada","114,621","",190,"Central America and the Caribbean"
"Tonga","tonga","104,889","",191,"Australia and Oceania"
"Virgin Islands","virgin-islands","104,377","",192,"Central America and the Caribbean"
"Jersey","jersey","103,387","",193,"Europe"
"Antigua and Barbuda","antigua-and-barbuda","102,634","",194,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","100,647","",195,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","99,603","",196,"Australia and Oceania"
"Seychelles","seychelles","98,187","",197,"Africa"
"Isle of Man","isle-of-man","92,269","",198,"Europe"
"Andorra","andorra","85,370","",199,"Europe"
"Marshall Islands","marshall-islands","82,011","",200,"Australia and Oceania"
"Dominica","dominica","74,661","",201,"Central America and the Caribbean"
"Bermuda","bermuda","72,800","",202,"North America"
"Guernsey","guernsey","67,787","",203,"Europe"
"Cayman Islands","cayman-islands","66,653","",204,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","60,439","",205,"Central America and the Caribbean"
"Greenland","greenland","57,751","",206,"North America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","55,133","",207,"Central America and the Caribbean"
"Faroe Islands","faroe-islands","52,933","",208,"Europe"
"Northern Mariana Islands","northern-mariana-islands","51,118","",209,"Australia and Oceania"
"Sint Maarten","sint-maarten","46,215","",210,"Central America and the Caribbean"
"American Samoa","american-samoa","43,895","",211,"Australia and Oceania"
"Liechtenstein","liechtenstein","40,272","",212,"Europe"
"British Virgin Islands","british-virgin-islands","40,102","",213,"Central America and the Caribbean"
"San Marino","san-marino","35,095","",214,"Europe"
"Saint Martin","saint-martin","32,996","",215,"Central America and the Caribbean"
"Monaco","monaco","31,813","",216,"Europe"
"Gibraltar","gibraltar","29,683","",217,"Europe"
"Palau","palau","21,864","",218,"Australia and Oceania"
"Anguilla","anguilla","19,416","",219,"Central America and the Caribbean"
"Wallis and Futuna","wallis-and-futuna","15,964","",220,"Australia and Oceania"
"Tuvalu","tuvalu","11,733","",221,"Australia and Oceania"
"Nauru","nauru","9,892","",222,"Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","7,943","",223,"Africa"
"Cook Islands","cook-islands","7,761","",224,"Australia and Oceania"
"Saint Barthelemy","saint-barthelemy","7,086","",225,"Central America and the Caribbean"
"Montserrat","montserrat","5,468","",226,"Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","5,132","",227,"North America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","3,662","2021",228,"South America"
"Svalbard","svalbard","2,926","2021",229,"Europe"
"Niue","niue","2,000","2022",230,"Australia and Oceania"
"Norfolk Island","norfolk-island","1,748","2016",231,"Australia and Oceania"
"Christmas Island","christmas-island","1,692","",232,"Australia and Oceania"
"Tokelau","tokelau","1,647","2019",233,"Australia and Oceania"
"Paracel Islands","paracel-islands","1,440","July 2014",234,"East and Southeast Asia"
"Holy See (Vatican City)","holy-see-vatican-city","1,000","2022",235,"Europe"
"Cocos (Keeling) Islands","cocos-keeling-islands","593","",236,"Australia and Oceania"
"Pitcairn Islands","pitcairn-islands","50","2021",237,"Australia and Oceania"
