SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-UW-23051188031/2023,GISAID; GenBank,EPI_ISL_17985975,OR142211.1,2023-05-11,King County
USA/WA-CDC-UW23022758670/2023,GISAID; GenBank,EPI_ISL_17145664,OQ589450.1,2023-02-27,King County
USA/WA-CDC-UW23022775517/2023,GISAID; GenBank,EPI_ISL_17145656,OQ589438.1,2023-02-27,King County
USA/WA-CDC-UW23022733139/2023,GISAID; GenBank,EPI_ISL_17145652,OQ589443.1,2023-02-27,King County
USA/WA-UW-23021051736/2023,GISAID; GenBank,EPI_ISL_17578918,OQ503914.1,2023-02-10,King County
USA/WA-UW-23021033760/2023,GISAID; GenBank,EPI_ISL_17579726,OQ503957.1,2023-02-10,King County
USA/WA-UW-23021085286/2023,GISAID; GenBank,EPI_ISL_17579381,OQ503900.1,2023-02-10,King County
USA/WA-UW-23021081327/2023,GISAID; GenBank,EPI_ISL_17578855,OQ503939.1,2023-02-10,King County
USA/WA-CDC-UW23021088736/2023,GISAID; GenBank,EPI_ISL_16999651,OQ472742.1,2023-02-10,King County
USA/WA-CDC-UW23021045136/2023,GISAID; GenBank,EPI_ISL_16999659,OQ472749.1,2023-02-10,King County
USA/WA-UW-23021060834/2023,GISAID; GenBank,EPI_ISL_17580644,OQ503898.1,2023-02-10,King County
USA/WA-CDC-UW23022736370/2023,GISAID; GenBank,EPI_ISL_17576226,OQ589457.1,2023-02-27,King County
USA/WA-CDC-UW23022795187/2023,GISAID; GenBank,EPI_ISL_17198470,OQ619189.1,2023-02-27,King County
USA/WA-CDC-UW23032803993/2023,GISAID; GenBank,EPI_ISL_17395669,OQ833529.1,2023-03-28,King County
USA/WA-UW-23022742762/2023,GISAID; GenBank,EPI_ISL_17580229,OQ592814.1,2023-02-27,King County
USA/WA-CDC-UW23022786865/2023,GISAID; GenBank,EPI_ISL_17145663,OQ589444.1,2023-02-27,King County
USA/WA-CDC-UW23022772505/2023,GISAID; GenBank,EPI_ISL_17145654,OQ589440.1,2023-02-27,King County
USA/WA-UW-23032022473/2023,GISAID; GenBank,EPI_ISL_17760230,OQ704040.1,2023-03-20,King County
USA/WA-CDC-UW23032898511/2023,GISAID; GenBank,EPI_ISL_17395657,OQ833524.1,2023-03-28,King County
USA/WA-CDC-UW23022788771/2023,GISAID; GenBank,EPI_ISL_17145685,OQ589453.1,2023-02-27,King County
USA/WA-PHL-032768/2023,GISAID; GenBank,EPI_ISL_17258628,PQ386011.1,2023-02-10,King County
USA/WA-UW-23032024711/2023,GISAID; GenBank,EPI_ISL_17760231,OQ704030.1,2023-03-20,King County
USA/WA-UW-23021088600/2023,GISAID; GenBank,EPI_ISL_17579569,OQ503913.1,2023-02-10,King County
USA/WA-UW-23021032820/2023,GISAID; GenBank,EPI_ISL_17579741,OQ503894.1,2023-02-10,King County
USA/WA-CDC-UW23022741496/2023,GISAID; GenBank,EPI_ISL_17145682,OQ589456.1,2023-02-27,King County
USA/WA-CDC-UW23091691065/2023,GISAID; GenBank,EPI_ISL_18327806,OR610820.1,2023-09-16,King County
USA/WA-CDC-UW23022721081/2023,GISAID; GenBank,EPI_ISL_17145662,OQ589432.1,2023-02-27,King County
USA/WA-UW-23021022641/2023,GISAID; GenBank,EPI_ISL_17580724,OQ503981.1,2023-02-10,King County
USA/WA-UW-23020947480/2023,GISAID; GenBank,EPI_ISL_17579663,OQ503980.1,2023-02-09,King County
USA/WA-CDC-UW23021024254/2023,GISAID; GenBank,EPI_ISL_16999650,OQ472740.1,2023-02-10,King County
USA/WA-CDC-LC1041963/2023,GISAID; GenBank,EPI_ISL_17680439,OQ997044.1,2023-05-02,King County
USA/WA-CDC-UW23091740445/2023,GISAID; GenBank,EPI_ISL_18327813,OR610827.1,2023-09-17,King County
USA/WA-CDC-LC1024667/2023,GISAID; GenBank,EPI_ISL_17236587,OQ642336.1,2023-02-23,King County
