SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-UW-23012208837/2023,GISAID; GenBank,EPI_ISL_17580096,OQ429328.1,2023-01-22,King County
USA/WA-UW-23012274497/2023,GISAID; GenBank,EPI_ISL_17580577,OQ429326.1,2023-01-22,King County
USA/WA-UW-23012293015/2023,GISAID; GenBank,EPI_ISL_17579990,OQ389849.1,2023-01-22,King County
USA/WA-UW-23012271609/2023,GISAID; GenBank,EPI_ISL_17578826,OQ429332.1,2023-01-22,King County
USA/WA-CDC-UW23011858815/2023,GISAID; GenBank,EPI_ISL_16736094,OQ352974.1,2023-01-18,King County
USA/WA-UW-23012218016/2023,GISAID; GenBank,EPI_ISL_17579837,OQ389844.1,2023-01-22,King County
USA/WA-UW-23012205394/2023,,,,2023-01-22,King County
USA/WA-UW-23012284712/2023,GISAID; GenBank,EPI_ISL_17580106,OQ429333.1,2023-01-22,King County
USA/WA-CDC-UW23020623666/2023,GISAID; GenBank,EPI_ISL_16910596,OQ439735.1,2023-02-06,King County
USA/WA-CDC-LC0998743/2023,GISAID; GenBank,EPI_ISL_16859604,OQ403378.1,2023-01-21,King County
USA/WA-CDC-UW23020272753/2023,GISAID; GenBank,EPI_ISL_16910555,OQ443277.1,2023-02-02,King County
USA/WA-CDC-UW23020223746/2023,GISAID; GenBank,EPI_ISL_16910561,OQ443283.1,2023-02-02,King County
USA/WA-CDC-LC0998736/2023,GISAID; GenBank,EPI_ISL_16859626,OQ403400.1,2023-01-21,King County
USA/WA-UW-23020272137/2023,GISAID; GenBank,EPI_ISL_17580409,OQ443023.1,2023-02-02,King County
USA/WA-PHL-032378/2023,GISAID; GenBank,EPI_ISL_17012698,PQ372367.1,2023-01-22,King County
USA/WA-CDC-UW23030607141/2023,GISAID; GenBank,EPI_ISL_17253345,OQ674561.1,2023-03-06,King County
USA/WA-CDC-UW23030620804/2023,GISAID; GenBank,EPI_ISL_17198307,OQ619363.1,2023-03-06,King County
USA/WA-CDC-UW23020242005/2023,GISAID; GenBank,EPI_ISL_16910571,OQ443295.1,2023-02-02,King County
USA/WA-CDC-UW23020268529/2023,GISAID; GenBank,EPI_ISL_16910564,OQ443286.1,2023-02-02,King County
USA/WA-ASC-210996610/2023,GISAID,EPI_ISL_16755189,,2023-01-21,King County
USA/WA-UW-23020280271/2023,GISAID; GenBank,EPI_ISL_17579539,OQ443022.1,2023-02-02,King County
USA/WA-UW-23032901332/2023,GISAID; GenBank,EPI_ISL_17760249,OQ851675.1,2023-03-29,King County
USA/WA-UW-23030714397/2023,GISAID; GenBank,EPI_ISL_17759989,OQ673775.1,2023-03-07,King County
USA/WA-CDC-UW23012373734/2023,GISAID; GenBank,EPI_ISL_16849464,OQ403039.1,2023-01-23,King County
USA/WA-CDC-UW23012318444/2023,GISAID; GenBank,EPI_ISL_16849413,OQ403029.1,2023-01-23,King County
USA/WA-UW-23012366630/2023,GISAID; GenBank,EPI_ISL_17580754,OQ428796.1,2023-01-23,King County
USA/WA-CDC-UW23012303551/2023,GISAID; GenBank,EPI_ISL_16849423,OQ403019.1,2023-01-23,King County
USA/WA-CDC-UW23011411205/2023,GISAID; GenBank,EPI_ISL_16640008,OQ306900.1,2023-01-14,King County
USA/WA-CDC-UW23012380653/2023,GISAID; GenBank,EPI_ISL_16849428,OQ403014.1,2023-01-23,King County
USA/WA-CDC-UW23020213091/2023,GISAID; GenBank,EPI_ISL_16939438,OQ449730.1,2023-02-02,King County
USA/WA-CDC-UW23020275275/2023,GISAID; GenBank,EPI_ISL_16910570,OQ443296.1,2023-02-02,King County
USA/WA-CDC-UW23012369430/2023,GISAID; GenBank,EPI_ISL_16849401,OQ403070.1,2023-01-23,King County
USA/WA-CDC-UW23012350214/2023,GISAID; GenBank,EPI_ISL_16849431,OQ403011.1,2023-01-23,King County
USA/WA-CDC-UW23021689896/2023,GISAID; GenBank,EPI_ISL_17078793,OQ589231.1,2023-02-16,King County
USA/WA-UW-23031117800/2023,GISAID; GenBank,EPI_ISL_17760081,OQ673705.1,2023-03-11,King County
USA/WA-PHL-032671/2023,GISAID; GenBank,EPI_ISL_17012956,PQ372633.1,2023-02-01,King County
USA/WA-PHL-032673/2023,GISAID; GenBank,EPI_ISL_17012958,PQ372635.1,2023-02-01,King County
USA/WA-CDC-UW23012344153/2023,GISAID; GenBank,EPI_ISL_16849446,OQ403057.1,2023-01-23,King County
USA/WA-UW-23012541239/2023,GISAID; GenBank,EPI_ISL_17580672,OQ389923.1,2023-01-25,King County
USA/WA-CDC-UW23012320641/2023,GISAID; GenBank,EPI_ISL_16849414,OQ403028.1,2023-01-23,King County
USA/WA-CDC-UW23012372246/2023,GISAID; GenBank,EPI_ISL_16849396,OQ403075.1,2023-01-23,King County
USA/WA-CDC-UW23021639508/2023,GISAID; GenBank,EPI_ISL_17078790,OQ589234.1,2023-02-16,King County
USA/WA-CDC-QDX83233112/2023,GISAID; GenBank,EPI_ISL_18104202,OR440048.1,2023-07-25,King County
USA/WA-CDC-UW23012320177/2023,GISAID; GenBank,EPI_ISL_16849452,OQ403051.1,2023-01-23,King County
USA/WA-CDC-UW23021655719/2023,GISAID; GenBank,EPI_ISL_17576227,OQ589220.1,2023-02-16,King County
USA/WA-CDC-LC1005493/2023,GISAID; GenBank,EPI_ISL_16916585,OQ432444.1,2023-02-01,King County
USA/WA-CDC-LC1005473/2023,GISAID; GenBank,EPI_ISL_16917037,OQ432762.1,2023-02-02,King County
USA/WA-CDC-UW23021613230/2023,GISAID; GenBank,EPI_ISL_17078792,OQ589238.1,2023-02-16,King County
USA/WA-CDC-UW23012317099/2023,GISAID; GenBank,EPI_ISL_16849440,OQ403063.1,2023-01-23,King County
USA/WA-CDC-UW23020357351/2023,GISAID; GenBank,EPI_ISL_16910552,OQ443322.1,2023-02-03,King County
USA/WA-PHL-032578/2023,GISAID; GenBank,EPI_ISL_17012877,PQ372549.1,2023-02-02,King County
USA/WA-CDC-UW23011859210/2023,GISAID; GenBank,EPI_ISL_16736092,OQ352996.1,2023-01-18,King County
USA/WA-S22938/2023,GISAID; GenBank,EPI_ISL_17395295,OQ738477.1,2023-02-01,King County
USA/WA-S22709/2023,GISAID; GenBank,EPI_ISL_17395074,OQ738286.1,2023-02-04,King County
USA/WA-S22723/2023,GISAID; GenBank,EPI_ISL_17395088,OQ738299.1,2023-02-08,King County
USA/WA-S22759/2023,GISAID; GenBank,EPI_ISL_17395123,OQ738327.1,2023-02-14,King County
USA/WA-PHL-032577/2023,GISAID; GenBank,EPI_ISL_17012876,PQ372548.1,2023-02-02,King County
USA/WA-S22838/2023,GISAID; GenBank,EPI_ISL_17395196,OQ738391.1,2023-01-20,King County
USA/WA-CDC-UW23012377483/2023,GISAID; GenBank,EPI_ISL_16849454,OQ403049.1,2023-01-23,King County
USA/WA-CDC-UW23021609132/2023,GISAID; GenBank,EPI_ISL_17078789,OQ589235.1,2023-02-16,King County
USA/WA-CDC-UW23012392647/2023,GISAID; GenBank,EPI_ISL_16849405,OQ403066.1,2023-01-23,King County
USA/WA-CDC-UW23011723490/2023,GISAID; GenBank,EPI_ISL_16735941,OQ352920.1,2023-01-17,King County
USA/WA-CDC-UW23012393775/2023,GISAID; GenBank,EPI_ISL_16849434,OQ403035.1,2023-01-23,King County
USA/WA-CDC-UW23012355935/2023,GISAID; GenBank,EPI_ISL_16849456,OQ403047.1,2023-01-23,King County
USA/WA-CDC-UW23020617215/2023,GISAID; GenBank,EPI_ISL_16910598,OQ439737.1,2023-02-06,King County
USA/WA-CDC-UW23012379994/2023,GISAID; GenBank,EPI_ISL_16849455,OQ403048.1,2023-01-23,King County
USA/WA-CDC-UW23012356442/2023,GISAID; GenBank,EPI_ISL_16849426,OQ403016.1,2023-01-23,King County
USA/WA-CDC-UW23012368405/2023,GISAID; GenBank,EPI_ISL_16849427,OQ403015.1,2023-01-23,King County
USA/WA-UW-23012355668/2023,GISAID; GenBank,EPI_ISL_17579429,OQ428793.1,2023-01-23,King County
USA/WA-CDC-UW23012334566/2023,GISAID; GenBank,EPI_ISL_16849400,OQ403071.1,2023-01-23,King County
USA/WA-CDC-UW23011794959/2023,GISAID; GenBank,EPI_ISL_16735954,OQ352957.1,2023-01-17,King County
USA/WA-CDC-UW23012327185/2023,GISAID; GenBank,EPI_ISL_16849448,OQ403055.1,2023-01-23,King County
USA/WA-CDC-UW23012304247/2023,GISAID; GenBank,EPI_ISL_16849408,OQ403034.1,2023-01-23,King County
USA/WA-PHL-032358/2023,GISAID; GenBank,EPI_ISL_17012686,PQ372347.1,2023-01-23,King County
USA/WA-CDC-LC1004674/2023,GISAID; GenBank,EPI_ISL_16915755,OQ431690.1,2023-01-23,King County
USA/WA-PHL-032357/2023,GISAID; GenBank,EPI_ISL_17012685,PQ372346.1,2023-01-23,King County
USA/WA-PHL-032359/2023,GISAID; GenBank,EPI_ISL_17012687,PQ372348.1,2023-01-23,King County
USA/WA-CDC-UW23031630460/2023,GISAID; GenBank,EPI_ISL_17322169,OQ704473.1,2023-03-16,King County
USA/WA-CDC-UW23020363597/2023,GISAID; GenBank,EPI_ISL_16910535,OQ443313.1,2023-02-03,King County
USA/WA-UW-23012314797/2023,GISAID; GenBank,EPI_ISL_17578912,OQ428788.1,2023-01-23,King County
USA/WA-CDC-UW23012346244/2023,GISAID; GenBank,EPI_ISL_16849404,OQ403068.1,2023-01-23,King County
USA/WA-CDC-UW23012304574/2023,GISAID; GenBank,EPI_ISL_16849439,OQ403064.1,2023-01-23,King County
USA/WA-UW-23012393195/2023,GISAID; GenBank,EPI_ISL_17580421,OQ428797.1,2023-01-23,King County
USA/WA-CDC-UW23012368040/2023,GISAID; GenBank,EPI_ISL_16849461,OQ403042.1,2023-01-23,King County
USA/WA-S22769/2023,GISAID; GenBank,EPI_ISL_17395133,OQ738337.1,2023-02-15,King County
USA/WA-CDC-UW23012374399/2023,GISAID; GenBank,EPI_ISL_16849462,OQ403041.1,2023-01-23,King County
USA/WA-UW-23020392082/2023,GISAID; GenBank,EPI_ISL_17580695,OQ504052.1,2023-02-03,King County
USA/WA-UW-23012301991/2023,GISAID; GenBank,EPI_ISL_17579695,OQ428787.1,2023-01-23,King County
USA/WA-CDC-UW23012306297/2023,GISAID; GenBank,EPI_ISL_16849460,OQ403043.1,2023-01-23,King County
USA/WA-CDC-UW23012314544/2023,GISAID; GenBank,EPI_ISL_16849417,OQ403025.1,2023-01-23,King County
USA/WA-CDC-UW23020360208/2023,GISAID; GenBank,EPI_ISL_16910519,OQ443339.1,2023-02-03,King County
USA/WA-CDC-UW23012309281/2023,GISAID; GenBank,EPI_ISL_16849433,OQ403009.1,2023-01-23,King County
USA/WA-CDC-UW23012330189/2023,GISAID; GenBank,EPI_ISL_16849412,OQ403030.1,2023-01-23,King County
USA/WA-CDC-UW23012377055/2023,GISAID; GenBank,EPI_ISL_16849457,OQ403046.1,2023-01-23,King County
USA/WA-CDC-UW23012363635/2023,GISAID; GenBank,EPI_ISL_16849418,OQ403024.1,2023-01-23,King County
USA/WA-CDC-UW23020540466/2023,GISAID; GenBank,EPI_ISL_16910608,OQ439727.1,2023-02-05,King County
USA/WA-CDC-UW23012339874/2023,GISAID; GenBank,EPI_ISL_16849442,OQ403061.1,2023-01-23,King County
USA/WA-CDC-UW23012305592/2023,GISAID; GenBank,EPI_ISL_16849397,OQ403074.1,2023-01-23,King County
USA/WA-UW-23012490979/2023,GISAID; GenBank,EPI_ISL_17579443,OQ389877.1,2023-01-24,King County
USA/WA-CDC-UW23012318137/2023,GISAID; GenBank,EPI_ISL_16849432,OQ403010.1,2023-01-23,King County
USA/WA-CDC-UW23012358901/2023,GISAID; GenBank,EPI_ISL_16849410,OQ403032.1,2023-01-23,King County
USA/WA-CDC-UW23012316330/2023,GISAID; GenBank,EPI_ISL_16849459,OQ403044.1,2023-01-23,King County
USA/WA-UW-23012391521/2023,GISAID; GenBank,EPI_ISL_17579988,OQ428789.1,2023-01-23,King County
USA/WA-UW-23012519161/2023,GISAID; GenBank,EPI_ISL_17580131,OQ443031.1,2023-01-25,King County
USA/WA-CDC-UW23012371296/2023,GISAID; GenBank,EPI_ISL_16849420,OQ403036.1,2023-01-23,King County
USA/WA-CDC-UW23012373098/2023,GISAID; GenBank,EPI_ISL_16849453,OQ403050.1,2023-01-23,King County
USA/WA-CDC-UW23012340327/2023,GISAID; GenBank,EPI_ISL_16849425,OQ403017.1,2023-01-23,King County
USA/WA-CDC-UW23012379329/2023,GISAID; GenBank,EPI_ISL_16849395,OQ403076.1,2023-01-23,King County
USA/WA-CDC-UW23012313980/2023,GISAID; GenBank,EPI_ISL_16849429,OQ403013.1,2023-01-23,King County
USA/WA-CDC-UW23012368355/2023,GISAID; GenBank,EPI_ISL_16849419,OQ403023.1,2023-01-23,King County
USA/WA-CDC-UW23012396708/2023,GISAID; GenBank,EPI_ISL_16849458,OQ403045.1,2023-01-23,King County
USA/WA-UW-23021753694/2023,GISAID; GenBank,EPI_ISL_17579153,OQ567886.1,2023-02-17,King County
USA/WA-UW-24030873156/2024,GISAID; GenBank,EPI_ISL_19092534,PP541822.1,2024-03-08,King County
USA/WA-CDC-UW23020303569/2023,GISAID; GenBank,EPI_ISL_16910518,OQ443338.1,2023-02-03,King County
USA/WA-CDC-UW23020366385/2023,GISAID; GenBank,EPI_ISL_16910528,OQ443316.1,2023-02-03,King County
USA/WA-CDC-LC0998960/2023,GISAID; GenBank,EPI_ISL_16859680,OQ403454.1,2023-01-22,King County
USA/WA-UW-23021767714/2023,GISAID; GenBank,EPI_ISL_17579360,OQ567913.1,2023-02-17,King County
USA/WA-CDC-UW23031411097/2023,GISAID; GenBank,EPI_ISL_17322225,OQ704409.1,2023-03-14,King County
USA/WA-CDC-UW23030661198/2023,GISAID; GenBank,EPI_ISL_17198301,OQ619357.1,2023-03-06,King County
USA/WA-CDC-UW23032336320/2023,GISAID; GenBank,EPI_ISL_17394896,OQ833358.1,2023-03-23,King County
USA/WA-CDC-UW23020391152/2023,GISAID; GenBank,EPI_ISL_17576197,OQ443337.1,2023-02-03,King County
USA/WA-CDC-UW23020389239/2023,GISAID; GenBank,EPI_ISL_16910529,OQ443307.1,2023-02-03,King County
USA/WA-UW-23012414608/2023,GISAID; GenBank,EPI_ISL_17579149,OQ443028.1,2023-01-24,King County
USA/WA-CDC-UW23020323313/2023,GISAID; GenBank,EPI_ISL_16999565,OQ472647.1,2023-02-03,King County
USA/WA-UW-23012454072/2023,GISAID; GenBank,EPI_ISL_17580075,OQ443029.1,2023-01-24,King County
USA/WA-UW-23021759039/2023,GISAID; GenBank,EPI_ISL_17579027,OQ568008.1,2023-02-17,King County
USA/WA-CDC-UW23020380148/2023,GISAID; GenBank,EPI_ISL_16910520,OQ443324.1,2023-02-03,King County
USA/WA-UW-23021735775/2023,GISAID; GenBank,EPI_ISL_17580306,OQ567898.1,2023-02-17,King County
USA/WA-CDC-UW23012469374/2023,GISAID; GenBank,EPI_ISL_16840734,OQ392511.1,2023-01-24,King County
USA/WA-CDC-UW23012427337/2023,GISAID; GenBank,EPI_ISL_16849352,OQ403093.1,2023-01-24,King County
USA/WA-UW-23021739385/2023,GISAID; GenBank,EPI_ISL_17580056,OQ567897.1,2023-02-17,King County
USA/WA-UW-23021757809/2023,GISAID; GenBank,EPI_ISL_17579047,OQ567893.1,2023-02-17,King County
USA/WA-CDC-UW23012486022/2023,GISAID; GenBank,EPI_ISL_16849353,OQ403089.1,2023-01-24,King County
USA/WA-CDC-UW23020341805/2023,GISAID; GenBank,EPI_ISL_16910500,OQ443340.1,2023-02-03,King County
USA/WA-UW-23021746334/2023,GISAID; GenBank,EPI_ISL_17580455,OQ567946.1,2023-02-17,King County
USA/WA-CDC-UW23020373006/2023,GISAID; GenBank,EPI_ISL_16910531,OQ443306.1,2023-02-03,King County
USA/WA-CDC-UW23022397801/2023,GISAID; GenBank,EPI_ISL_17145770,OQ589322.1,2023-02-23,King County
USA/WA-UW-23030853648/2023,GISAID; GenBank,EPI_ISL_17760010,OQ673752.1,2023-03-08,King County
USA/WA-UW-23033121687/2023,GISAID; GenBank,EPI_ISL_17760287,OQ851711.1,2023-03-31,King County
USA/WA-CDC-UW23012490822/2023,GISAID; GenBank,EPI_ISL_16849348,OQ403097.1,2023-01-24,King County
USA/WA-CDC-UW23012464506/2023,GISAID; GenBank,EPI_ISL_16849363,OQ403083.1,2023-01-24,King County
USA/WA-UW-23021792132/2023,GISAID; GenBank,EPI_ISL_17580184,OQ567988.1,2023-02-17,King County
USA/WA-CDC-UW23012428702/2023,GISAID; GenBank,EPI_ISL_16849383,OQ403128.1,2023-01-24,King County
USA/WA-PHL-032664/2023,GISAID; GenBank,EPI_ISL_17012951,PQ372627.1,2023-02-02,King County
USA/WA-PHL-032665/2023,GISAID; GenBank,EPI_ISL_17012952,PQ372628.1,2023-02-02,King County
USA/WA-UW-23021749439/2023,GISAID; GenBank,EPI_ISL_17580573,OQ567936.1,2023-02-17,King County
USA/WA-CDC-UW23021726229/2023,GISAID; GenBank,EPI_ISL_17074710,OQ589244.1,2023-02-17,King County
USA/WA-UW-23021355867/2023,GISAID; GenBank,EPI_ISL_17580367,OQ568103.1,2023-02-13,King County
USA/WA-CDC-UW23021754725/2023,GISAID; GenBank,EPI_ISL_17074707,OQ589241.1,2023-02-17,King County
USA/WA-CDC-UW23012473585/2023,GISAID; GenBank,EPI_ISL_16849374,OQ403125.1,2023-01-24,King County
USA/WA-CDC-UW23012484191/2023,GISAID; GenBank,EPI_ISL_16849367,OQ403092.1,2023-01-24,King County
USA/WA-CDC-UW23012496179/2023,GISAID; GenBank,EPI_ISL_16840735,OQ392507.1,2023-01-24,King County
USA/WA-PHL-032366/2023,GISAID; GenBank,EPI_ISL_17012694,PQ372355.1,2023-01-24,King County
USA/WA-PHL-032367/2023,GISAID; GenBank,EPI_ISL_17012695,PQ372356.1,2023-01-24,King County
USA/WA-PHL-032365/2023,GISAID; GenBank,EPI_ISL_17012693,PQ372354.1,2023-01-23,King County
USA/WA-PHL-032360/2023,GISAID; GenBank,EPI_ISL_17012688,PQ372349.1,2023-01-23,King County
USA/WA-PHL-032362/2023,GISAID; GenBank,EPI_ISL_17012690,PQ372351.1,2023-01-23,King County
USA/WA-PHL-032361/2023,GISAID; GenBank,EPI_ISL_17012689,PQ372350.1,2023-01-23,King County
USA/WA-PHL-032364/2023,GISAID; GenBank,EPI_ISL_17012692,PQ372353.1,2023-01-23,King County
USA/WA-UW-23020400049/2023,GISAID; GenBank,EPI_ISL_17578824,OQ429419.1,2023-02-04,King County
USA/WA-UW-23020414449/2023,GISAID; GenBank,EPI_ISL_17580548,OQ429429.1,2023-02-04,King County
USA/WA-CDC-UW23012453425/2023,GISAID; GenBank,EPI_ISL_16849382,OQ403117.1,2023-01-24,King County
USA/WA-CDC-UW23012422650/2023,GISAID; GenBank,EPI_ISL_16849368,OQ403102.1,2023-01-24,King County
USA/WA-CDC-UW23012483298/2023,GISAID; GenBank,EPI_ISL_16849366,OQ403082.1,2023-01-24,King County
USA/WA-CDC-UW23012454866/2023,GISAID; GenBank,EPI_ISL_16849369,OQ403115.1,2023-01-24,King County
USA/WA-CDC-UW23012424844/2023,GISAID; GenBank,EPI_ISL_16849359,OQ403079.1,2023-01-24,King County
USA/WA-CDC-UW23012435004/2023,GISAID; GenBank,EPI_ISL_17576108,OQ403090.1,2023-01-24,King County
USA/WA-CDC-UW23020446506/2023,GISAID; GenBank,EPI_ISL_16910613,OQ439715.1,2023-02-04,King County
USA/WA-CDC-UW23020464474/2023,GISAID; GenBank,EPI_ISL_16910494,OQ443367.1,2023-02-04,King County
USA/WA-CDC-UW23012449590/2023,GISAID; GenBank,EPI_ISL_16849356,OQ403088.1,2023-01-24,King County
USA/WA-CDC-UW23011415637/2023,GISAID; GenBank,EPI_ISL_16640013,OQ306904.1,2023-01-14,King County
USA/WA-CDC-UW23012422990/2023,GISAID; GenBank,EPI_ISL_16849364,OQ403084.1,2023-01-24,King County
USA/WA-UW-23020494195/2023,GISAID; GenBank,EPI_ISL_17578998,OQ429347.1,2023-02-04,King County
USA/WA-CDC-UW23012447821/2023,GISAID; GenBank,EPI_ISL_16849380,OQ403119.1,2023-01-24,King County
USA/WA-CDC-UW23020554270/2023,GISAID; GenBank,EPI_ISL_16910467,OQ443378.1,2023-02-05,King County
USA/WA-CDC-UW23012463825/2023,GISAID; GenBank,EPI_ISL_16849381,OQ403118.1,2023-01-24,King County
USA/WA-CDC-QDX47043319/2023,GISAID; GenBank,EPI_ISL_17147153,OQ583259.1,2023-02-17,King County
USA/WA-UW-23021865435/2023,GISAID; GenBank,EPI_ISL_17579899,OQ567892.1,2023-02-18,King County
USA/WA-UW-23020430137/2023,GISAID; GenBank,EPI_ISL_17579767,OQ429355.1,2023-02-04,King County
USA/WA-UW-23020411964/2023,GISAID; GenBank,EPI_ISL_17580173,OQ429370.1,2023-02-04,King County
USA/WA-CDC-UW23012488014/2023,GISAID; GenBank,EPI_ISL_16849373,OQ403126.1,2023-01-24,King County
USA/WA-CDC-UW23020448450/2023,GISAID; GenBank,EPI_ISL_16910491,OQ443360.1,2023-02-04,King County
USA/WA-CDC-UW23013108649/2023,GISAID; GenBank,EPI_ISL_16910633,OQ439707.1,2023-01-31,King County
USA/WA-CDC-UW23020406494/2023,GISAID; GenBank,EPI_ISL_16910621,OQ439708.1,2023-02-04,King County
USA/WA-CDC-UW23020423104/2023,GISAID; GenBank,EPI_ISL_16910487,OQ443362.1,2023-02-04,King County
USA/WA-CDC-UW23012413886/2023,GISAID; GenBank,EPI_ISL_17576050,OQ403098.1,2023-01-24,King County
USA/WA-UW-23012457250/2023,GISAID; GenBank,EPI_ISL_17580428,OQ428791.1,2023-01-24,King County
USA/WA-CDC-UW23012417523/2023,GISAID; GenBank,EPI_ISL_16849357,OQ403086.1,2023-01-24,King County
USA/WA-CDC-UW23012475402/2023,GISAID; GenBank,EPI_ISL_16849391,OQ403108.1,2023-01-24,King County
USA/WA-UW-23021848062/2023,GISAID; GenBank,EPI_ISL_17580544,OQ568062.1,2023-02-18,King County
USA/WA-CDC-UW23020415242/2023,GISAID; GenBank,EPI_ISL_16910617,OQ439720.1,2023-02-04,King County
USA/WA-PHL-032925/2023,GISAID; GenBank,EPI_ISL_17258640,PQ386145.1,2023-02-17,King County
USA/WA-CDC-UW23030819714/2023,GISAID; GenBank,EPI_ISL_17253308,OQ674625.1,2023-03-08,King County
USA/WA-CDC-UW23030837704/2023,GISAID; GenBank,EPI_ISL_17253310,OQ674621.1,2023-03-08,King County
USA/WA-CDC-UW23020432413/2023,GISAID; GenBank,EPI_ISL_16910612,OQ439716.1,2023-02-04,King County
USA/WA-UW-23020417951/2023,GISAID; GenBank,EPI_ISL_17579955,OQ429391.1,2023-02-04,King County
USA/WA-UW-23020469090/2023,GISAID; GenBank,EPI_ISL_17580725,OQ429375.1,2023-02-04,King County
USA/WA-CDC-UW23030883572/2023,GISAID; GenBank,EPI_ISL_17253309,OQ674620.1,2023-03-08,King County
USA/WA-CDC-UW23020444769/2023,GISAID; GenBank,EPI_ISL_16910616,OQ439712.1,2023-02-04,King County
USA/WA-CDC-UW23020427464/2023,GISAID; GenBank,EPI_ISL_16910490,OQ443366.1,2023-02-04,King County
USA/WA-CDC-UW23012436422/2023,GISAID; GenBank,EPI_ISL_16840728,OQ392505.1,2023-01-24,King County
USA/WA-CDC-UW23012408519/2023,GISAID; GenBank,EPI_ISL_16840726,OQ392503.1,2023-01-24,King County
USA/WA-CDC-UW23012429041/2023,GISAID; GenBank,EPI_ISL_16840730,OQ392512.1,2023-01-24,King County
USA/WA-UW-23012405988/2023,GISAID; GenBank,EPI_ISL_17578907,OQ389865.1,2023-01-24,King County
USA/WA-CDC-UW23012479054/2023,GISAID; GenBank,EPI_ISL_16840732,OQ392509.1,2023-01-24,King County
USA/WA-UW-23012445025/2023,GISAID; GenBank,EPI_ISL_17580264,OQ389916.1,2023-01-24,King County
USA/WA-UW-23012428626/2023,GISAID; GenBank,EPI_ISL_17580205,OQ389868.1,2023-01-24,King County
USA/WA-CDC-UW23012431850/2023,GISAID; GenBank,EPI_ISL_16840733,OQ392510.1,2023-01-24,King County
USA/WA-UW-23022055881/2023,GISAID; GenBank,EPI_ISL_17579772,OQ567943.1,2023-02-20,King County
USA/WA-PHL-032660/2023,GISAID; GenBank,EPI_ISL_17012947,PQ372623.1,2023-02-03,King County
USA/WA-PHL-032659/2023,GISAID; GenBank,EPI_ISL_17012946,PQ372622.1,2023-02-03,King County
USA/WA-UW-23021838000/2023,GISAID; GenBank,EPI_ISL_17580122,OQ568034.1,2023-02-18,King County
USA/WA-UW-23021849547/2023,GISAID; GenBank,EPI_ISL_17579218,OQ567989.1,2023-02-18,King County
USA/WA-UW-23012556947/2023,GISAID; GenBank,EPI_ISL_17579031,OQ443030.1,2023-01-25,King County
USA/WA-PHL-032662/2023,GISAID; GenBank,EPI_ISL_17012949,PQ372625.1,2023-02-03,King County
USA/WA-S22706/2023,GISAID; GenBank,EPI_ISL_17395071,OQ738284.1,2023-02-03,King County
USA/WA-S23834/2023,GISAID; GenBank,EPI_ISL_18304346,OR597104.1,2023-02-06,King County
USA/WA-UW-23021875268/2023,GISAID; GenBank,EPI_ISL_17580614,OQ567889.1,2023-02-18,King County
USA/WA-PHL-032648/2023,GISAID; GenBank,EPI_ISL_17012935,PQ372611.1,2023-01-23,King County
USA/WA-UW-23020535570/2023,GISAID; GenBank,EPI_ISL_17580507,OQ504057.1,2023-02-05,King County
USA/WA-PHL-032651/2023,GISAID; GenBank,EPI_ISL_17012938,PQ372614.1,2023-01-23,King County
USA/WA-PHL-032649/2023,GISAID; GenBank,EPI_ISL_17012936,PQ372612.1,2023-01-23,King County
USA/WA-S23838/2023,GISAID; GenBank,EPI_ISL_18304348,OR597108.1,2023-02-25,King County
USA/WA-PHL-032652/2023,GISAID; GenBank,EPI_ISL_17012939,PQ372615.1,2023-01-23,King County
USA/WA-PHL-032646/2023,GISAID; GenBank,EPI_ISL_17012934,PQ372610.1,2023-01-23,King County
USA/WA-PHL-032642/2023,GISAID; GenBank,EPI_ISL_17012930,PQ372606.1,2023-01-23,King County
USA/WA-UW-23021830474/2023,GISAID; GenBank,EPI_ISL_17580435,OQ567981.1,2023-02-18,King County
USA/WA-PHL-032368/2023,GISAID; GenBank,EPI_ISL_17012696,PQ372357.1,2023-01-24,King County
USA/WA-PHL-032369/2023,GISAID; GenBank,EPI_ISL_17012697,PQ372358.1,2023-01-24,King County
USA/WA-CDC-UW23030902513/2023,GISAID; GenBank,EPI_ISL_17253263,OQ674660.1,2023-03-09,King County
USA/WA-CDC-UW23030916142/2023,GISAID; GenBank,EPI_ISL_17253270,OQ674667.1,2023-03-09,King County
USA/WA-CDC-UW23112526946/2023,GISAID; GenBank,EPI_ISL_18620755,OR951002.1,2023-11-25,King County
USA/WA-UW-23030955392/2023,GISAID; GenBank,EPI_ISL_17760034,OQ673686.1,2023-03-09,King County
USA/WA-CDC-UW23030906652/2023,GISAID; GenBank,EPI_ISL_17253264,OQ674661.1,2023-03-09,King County
USA/WA-CDC-QDX46611928/2023,GISAID; GenBank,EPI_ISL_17009044,OQ505234.1,2023-02-06,King County
USA/WA-CDC-LC1036467/2023,GISAID; GenBank,EPI_ISL_17524057,OQ852102.1,2023-04-03,King County
USA/WA-CDC-UW23080991753/2023,GISAID; GenBank,EPI_ISL_18133712,OR480822.1,2023-08-09,King County
USA/WA-CDC-UW23012538896/2023,GISAID; GenBank,EPI_ISL_16840697,OQ392520.1,2023-01-25,King County
